DPR412_classification,construction_year,degree_days,floors,net_area,heat_loss_surface,heated_usable_area,cooled_usable_area,heated_gross_volume,cooled_gross_volume,total_opaque_surface,total_glazed_surface,average_opaque_surface_transmittance,average_glazed_surface_transmittance,yie,Cm,surface_to_volume_ratio,Asol,system_type,nominal_power,installation_year,EPh,QHnd,QHimp,total_effective_ventilation_flow,ventilation_type,air_changes,EPv,EPc,EPl,EPt,EPgl,EPw,Interfloor,system_performance,corridor,aereo,theoric_nominal_power,Area_check,air_changes_max,cluster
13,1900,2617,6.0,17410.1,32302.12,17410.1,0.0,101186.38,0.0,25564.79,6737.33,1.0664,3.8411,0.2284,7821177.0,0.3192,4202.77,0,2905.5,2018.0,268.9635,3372024.49,3347858.38,9464.0166,2,2.2871,3.1368,0.0,46.5999,0.0,319.2542,0.554,5.811935600599653,0.715,172587.01146571655,580.3366666666666,1062.8210063800002,True,10.220347244362332,2
5,2000,2815,5.0,30992.2006,26272.77,30992.2,30992.2,152888.97,152888.97,22279.32,3974.31,0.7972,2.189,0.2048,3011237.02,0.1718,0.02,0,8292.0,2000.0,122.76,2853671.64,2853671.64,28.9872,1,0.807546409609154,23.34,0.09,187.37,4.43,337.99,0.0,4.933143500622737,0.75,270896.401290967,1033.0733333333333,529.21676988,True,12.04100387359533,2
13,1975,2662,,3844.95,7334.96,3844.95,0.0,23974.33,0.0,6460.15,874.81,1.3348,4.4321,0.0429,412885.66,0.306,152.6,1,849.0,2016.0,222.0449,725806.18,725806.18,8.4134925,0,0.804211504207306,0.0,0.0,29.3543,0.0,251.886,0.4868,6.235277441839297,0.85,40300.30125868211,128.165,250.00507242,True,9.526440572061864,2
13,1980,2778,,15585.9,25642.89,15585.9,0.0,70500.45,0.0,22360.44,3282.45,0.7431,3.085,0.2702,5934019.0,0.3637,1701.73,19,2100.0,2017.0,116.2432,1974339.05,2010619.48,58534.6133,2,3.4509,20.3023,0.0,40.8092,0.355,177.8289,0.1192,4.523348026100514,1.11,127723.20957896202,519.53,534.84802428,True,13.131865966812978,2
13,1970,2524,0.0,11357.43,25569.21,11357.43,11357.43,50054.94,50054.94,23314.22,3477.79,1.3447,3.2464,0.4853,5201548.0,0.5108,781.95,19,1400.0,2014.0,242.2069,2714141.48,2713565.65,0.0,0,0.64,0.0,0.0,39.5237,0.6556,282.9022,0.5161,4.4072417791701115,0.986,91316.88567882589,378.581,852.8185818000001,True,13.47781741422525,2
13,1930,2617,0.0,7907.87,9644.53,7907.87,5.82,25852.93,16.29,7329.9,2314.63,1.5746,2.7385,0.3226,2454534.0,0.3731,1188.97,1,1617.5,1998.0,194.3511,1159175.36,1158942.58,0.0,0,0.64,0.0,0.0,36.9887,0.7053,233.7233,1.6783,3.2692659338102423,0.754,51583.448805553366,263.59566666666666,357.6054959,True,18.169216332539484,2
13,1968,2646,,3962.195,8289.5,3962.2,3962.2,18290.3,18290.3,7353.02,1300.02,1.1119,4.5742,0.4515,1229909.0,0.4532,349.6,19,300.0,2012.0,468.4198,1077984.58,1077982.23,0.0,0,0.9835,0.0,0.0,25.5895,3.6596,497.7635,0.0945,4.616198071778305,0.581,32970.324563207585,132.07333333333332,282.44748844,True,12.867732076565174,2
13,1975,2617,0.0,5169.27,8011.93,5169.27,0.0,26602.74,0.0,6979.9,1389.32,1.0692,5.9143,0.3492,1965010.0,0.3012,218.0,1,808.5,2016.0,264.4592,1060208.13,1060206.73,0.0,0,1.4752,0.0,0.0,43.0881,2.5564,310.1506,0.0469,5.146324335931379,0.776,46665.80804277523,172.30900000000003,313.59528711999997,True,11.542218508319069,2
13,1980,2815,,10307.61,13618.5,10307.61,0.0,37223.55,0.0,12044.44,1915.46,1.0391,2.6256,0.3923,3582624.0,0.3659,723.28,1,1470.8,2021.0,157.4179,1219080.19,1365152.22,62153.3984,1,4.5867,8.3972,0.0,44.6356,0.4204,211.3813,0.5101,3.611268761623694,0.841,71935.43682954069,343.58700000000005,350.89218759999994,True,16.44851267544337,2
7,1650,2617,0.0,14395.295,31742.44,14395.3,14395.3,132145.89,132145.89,25196.16,1525.71,1.1061,3.1876,0.0551,3014603.16,0.2402,854.34,0,2162.0,1990.0,196.0377,2729088.62,2067438.66,67542.0491,3,0.7,77.7558,32.0417,29.3144,1.0866,336.3506,0.1143,9.17979409946302,0.733,207356.08031253095,479.8433333333333,654.65651544,True,6.470733369006027,2
